IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv,Cluster
24.33,0.171,0.123,13.09,0.177,0.232,38.09,24.979,0.265,0.226,0.085,0.241,0.776,1.952,0.152,0.742,3
8.48,0.033,0.022,1.28,-1.465,0.615,11.117,43.51,0.03,0.141,-1.004,0.047,-1.012,0.384,0.159,1.4185,3
21.931,0.133,0.094,12.601,0.012,0.708,34.107,31.821,0.197,0.248,-0.29,0.291,-0.584,4.288,0.368,1.008,3
20.461,0.108,0.072,15.813,-0.301,0.744,31.985,43.115,0.21,0.156,0.153,0.272,-0.279,3.562,1.03,0.693,3
19.292,0.151,0.107,15.061,-0.181,0.497,13.241,34.951,0.207,0.208,-0.106,0.301,-0.455,0.246,0.77,0.549,3
22.29,0.157,0.098,13.725,-0.165,0.892,33.88,21.004,0.25,0.261,0.317,0.189,0.195,2.941,-0.3,0.885,3
25.348,0.137,0.104,15.343,0.479,0.869,5.422,61.525,0.229,0.233,0.346,0.218,-1.497,-0.971,1.652,0.646,3
21.371,0.173,0.102,17.845,-0.333,0.47,26.381,30.345,0.289,0.176,-0.187,0.343,-1.184,3.39,0.214,1.108,3
13.683,0.064,0.034,2.746,-0.768,0.733,15.999,58.811,0.097,0.186,-0.647,0.058,-1.26,1.575,0.982,1.4185,3
21.713,0.091,0.07,7.852,-0.609,-0.172,26.754,47.508,0.101,0.11,-0.552,0.248,0.5615,-0.029,1.568,-1.546,3
13.407,0.072,0.085,9.431,0.176,0.289,9.534,28.608,0.043,0.177,-0.28,0.242,-0.944,-0.077,0.726,-0.045,3
34.543,0.176,0.136,15.672,0.198,0.963,38.841,46.0415,0.263,0.284,0.329,0.23,-0.903,5.083,1.489,1.693,3
19.952,0.151,0.081,16.971,-0.141,0.518,31.271,24.03,0.231,0.182,0.083,0.299,0.219,2.444,0.002,0.846,3
20.762,0.099,0.106,6.475,0.666,1.066,3.086,37.198,0.108,0.164,-0.409,0.202,-0.87,-2.686,1.071,-0.07,3
29.784,0.203,0.127,13.967,0.348,1.057,19.714,55.618,0.403,0.373,0.409,0.139,-1.175,2.248,1.155,1.432,3
19.76,0.154,0.111,21.967,0.036,-0.119,19.515,28.097,0.157,0.396,0.391,0.31,-0.379,1.521,0.482,0.488,3
20.356,0.149,0.084,4.718,-0.093,1.178,27.46,22.906,0.233,0.203,-0.834,0.216,-0.311,2.862,0.163,0.536,3
25.991,0.159,0.101,14.954,0.018,1.192,39.523,21.528,0.194,0.246,-0.678,0.348,0.222,3.822,0.08,0.525,3
32.768,0.2,0.182,10.03,1.104,0.328,24.602,50.34,0.18,0.269,-0.47,0.274,-0.653,2.79,1.228,0.838,3
11.226,0.082,0.07,1.888,-0.614,-0.554,22.005,37.734,0.102,0.137,-0.997,0.137,-0.426,2.062,0.867,0.578,3
14.998,0.082,0.078,2.664,0.323,-0.186,20.997,42.124,0.087,0.133,-0.749,0.123,0.156,0.546,1.309,-0.395,3
18.599,0.101,0.111,8.68,0.867,0.025,18.077,25.36,0.078,0.181,-0.735,0.276,0.107,-0.004,0.101,0.843,3
21.511,0.096,0.079,10.177,-0.517,-1.059,45.041,60.252,0.12,0.114,-0.433,0.273,1.624,0.276,2.067,-2.053,3
15.71,0.066,0.056,5.64,0.084,0.296,19.124,58.003,0.086,0.181,-0.403,0.176,-0.538,1.662,1.877,-0.736,3
16.06,0.129,0.098,3.729,-0.206,0.272,17.424,34.456,0.16,0.218,-0.727,0.177,-0.685,1.501,0.457,1.086,3
19.542,0.068,0.068,3.703,0.918,-0.072,22.805,60.224,0.221,0.219,-0.673,0.167,-0.772,2.585,1.548,0.835,3
12.012,0.076,0.057,3.285,-0.252,0.529,10.49,39.083,0.074,0.271,-0.624,0.124,-1.293,0.381,0.793,0.862,3
11.361,0.07,0.055,19.439,-0.549,0.225,15.831,25.394,0.11,0.168,0.53,0.242,-0.753,1.235,0.304,0.55,3
14.216,0.11,0.092,3.769,-0.855,0.057,21.905,35.028,0.101,0.149,-1.447,0.227,-0.38,1.979,0.307,1.351,3
24.911,0.172,0.151,17.452,0.411,-0.209,11.099,49.957,0.24,0.182,0.013,0.315,-1.304,0.53,1.259,0.72,3
12.446,0.074,0.085,5.162,-0.203,0.359,10.398,31.085,0.054,0.126,-0.545,0.191,-0.935,0.148,0.562,0.622,3
