IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv,Cluster
40.328,0.297,0.248,45.99,1.092,-0.483,23.125,16.678,0.356,0.301,0.979,0.445,0.426,0.017,0.216,-0.368,1
32.335,0.179,0.143,32.213,0.642,0.491,12.64,23.459,0.233,0.295,0.805,0.347,-0.646,0.396,1.827,0.801,1
49.091,0.322,0.235,14.3065,0.841,0.391,19.978,37.724,0.431,0.368,-0.052,0.526,-1.073,2.255,1.174,-0.5,1
35.799,0.227,0.194,39.242,1.467,0.98,4.358,7.593,0.332,0.269,0.792,0.418,-0.718,-2.263,-0.844,-0.075,1
36.702,0.241,0.173,39.566,0.739,0.473,5.035,37.607,0.329,0.234,0.921,0.398,-0.645,-2.092,1.968,-0.033,1
41.498,0.276,0.227,13.969,0.862,0.553,11.536,16.466,0.307,0.311,1.752,0.491,-0.082,-1.312,-0.152,0.313,1
22.111,0.162,0.145,43.631,1.89,1.618,17.597,21.856,0.2065,0.188,0.744,0.464,-1.086,1.816,2.003,0.332,1
21.042,0.155,0.1355,19.4915,1.713,0.074,20.683,4.596,0.448,0.403,1.183,0.518,0.443,-0.76,-1.0,-0.489,1
30.829,0.234,0.196,17.192,0.965,0.522,7.562,27.522,0.349,0.171,-0.033,0.318,-0.161,-3.031,0.652,0.024,1
34.021,0.224,0.227,49.148,0.605,0.194,14.631,19.208,0.215,0.264,1.169,0.434,-0.537,0.709,0.336,-0.279,1
41.703,0.289,0.207,33.469,0.93,1.407,13.841,38.276,0.386,0.405,0.625,0.392,-0.627,0.651,0.874,0.614,1
30.155,0.191,0.139,16.709,1.225,0.822,2.567,43.886,0.218,0.269,0.026,0.304,-1.67,-2.101,1.143,0.476,1
13.948,0.087,0.083,11.654,1.245,1.338,22.375,50.638,0.443,0.304,1.579,0.543,-1.121,2.705,1.133,1.094,1
36.286,0.255,0.205,26.168,0.603,1.172,17.222,34.598,0.352,0.25,0.391,0.356,-0.667,1.437,0.92,0.099,1
37.237,0.231,0.181,23.461,1.283,0.446,5.419,37.4095,0.324,0.295,0.046,0.375,-1.022,-1.273,1.708,0.768,1
24.57,0.162,0.1,51.953,-0.071,0.073,17.678,37.186,0.252,0.162,1.121,0.468,0.076,-0.001,0.883,0.486,1
45.05,0.293,0.245,26.026,0.675,1.253,36.675,34.478,0.307,0.337,-0.123,0.417,-0.969,4.848,0.529,0.969,1
35.118,0.26,0.195,29.372,1.018,0.47,21.262,27.169,0.364,0.3,0.435,0.381,-0.055,1.206,0.029,1.079,1
