IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv,Cluster
9.022,0.089,0.083,9.494,-0.888,-0.03,8.987,7.896,0.074,0.149,-0.23,0.235,-0.727,-0.466,-0.913,0.013,0
7.16,0.062,0.058,6.816,-0.74,-1.056,26.27,5.818,0.101,0.075,-0.463,0.219,0.798,-0.964,-0.745,-0.503,0
6.078,0.05,0.046,5.223,-0.652,-0.117,20.3,8.061,0.078,0.056,-0.458,0.175,0.648,-2.424,-0.729,-0.103,0
4.084,0.057,0.059,1.827,-1.323,-0.385,7.707,6.289,0.074,0.048,-1.209,0.165,-0.312,-1.934,-0.625,-0.587,0
12.308,0.096,0.101,6.558,-0.184,0.195,13.459,11.667,0.121,0.095,-0.826,0.249,0.039,-1.122,-0.275,-0.12,0
8.752,0.086,0.073,9.061,-0.421,-0.411,17.692,3.349,0.106,0.114,-0.635,0.275,-0.004,0.251,-0.993,-0.862,0
5.821,0.045,0.05,17.813,-0.935,-0.354,6.175,9.124,0.073,0.059,-0.198,0.343,-0.504,-1.949,-0.974,0.198,0
1.544,0.022,0.018,0.378,-2.331,-0.787,7.181,11.999,0.015,0.05,-1.642,0.091,-0.478,-1.575,-0.161,-0.271,0
6.589,0.045,0.057,16.464,-0.439,-0.751,9.855,10.452,0.025,0.089,0.162,0.279,-0.214,-1.401,-0.45,-0.05,0
5.771,0.02,0.035,2.372,-1.079,-0.021,25.643,13.317,0.024,0.027,-1.115,0.177,1.006,-3.581,0.078,-0.657,0
12.31,0.048,0.064,13.087,-0.296,0.87,22.906,12.141,0.052,0.061,-0.46,0.313,0.41,0.039,-0.037,-0.564,0
13.077,0.087,0.079,7.39,-0.205,0.608,11.338,24.828,0.09,0.124,-0.764,0.259,0.139,-2.911,0.425,0.258,0
9.397,0.037,0.032,1.448,-2.326,0.412,29.765,32.489,0.063,0.051,-1.104,0.125,0.471,1.359,-0.242,1.794,0
7.087,0.034,0.057,4.802,-0.144,-1.418,29.229,2.931,0.016,0.052,-0.92,0.224,1.2,-3.034,-2.024,-0.435,0
5.719,0.048,0.039,12.315,-1.068,-0.815,21.888,8.443,0.085,0.053,-0.166,0.272,0.517,-0.78,-0.774,-0.011,0
13.619,0.04,0.043,2.012,-0.677,0.278,16.2035,25.362,0.029,0.084,-1.16,0.168,0.4745,-3.404,0.699,-0.532,0
2.245,0.018,0.032,0.947,-2.081,-1.208,20.515,5.533,0.007,0.014,-1.27,0.108,0.663,-2.472,-1.468,-0.075,0
11.455,0.06,0.085,4.125,0.072,0.176,15.576,21.834,0.032,0.098,-1.173,0.225,0.25,-1.454,0.172,0.421,0
13.377,0.062,0.099,7.12,0.355,-0.398,30.796,1.924,0.04,0.073,-0.699,0.249,1.299,-3.155,-1.482,-0.879,0
9.104,0.069,0.067,4.629,-0.171,-0.517,6.783,29.402,0.067,0.137,-0.489,0.158,-0.914,-0.901,0.822,-0.297,0
9.664,0.07,0.063,17.924,-0.651,-0.637,27.325,1.915,0.111,0.094,0.366,0.259,0.885,-1.137,-1.056,-1.753,0
7.773,0.066,0.063,13.778,-0.986,-0.536,19.825,8.371,0.081,0.112,-0.382,0.315,0.251,-0.11,-0.937,0.089,0
13.795,0.067,0.065,6.754,-0.839,0.279,37.713,24.54,0.113,0.077,-0.646,0.239,1.573,-1.705,0.704,-0.803,0
15.113,0.059,0.052,2.356,-0.407,-0.671,37.661,54.721,0.033,0.101,-1.331,0.19,1.596,-1.934,1.798,-1.244,0
13.316,0.044,0.046,3.156,-1.098,-0.535,45.336,39.235,0.048,0.066,-0.992,0.191,0.624,-2.677,1.288,-1.161,0
8.111,0.06,0.077,5.436,-0.41,-0.293,8.933,17.853,0.044,0.076,-0.693,0.218,0.012,-3.818,0.276,-0.333,0
