IMDScore_n,IncDepriv_n,EmpDepriv_n,EduSklDepriv_n,HealthDepriv_n,CrimScore_n,HousServDepriv_n,LivEnvDepriv_n,ChildIncDepriv_n,OldPplIncDepriv_n,ChildYPDepriv_n,AdultSklDepriv_n,GeoBarDepriv_n,WiderBarDepriv_n,IndoorDepriv_n,OutdoorDepriv_n,Cluster
0.8122248491765858,0.8957055214723926,0.9878542510121456,0.8149867961646846,0.7772747849705749,0.4082063305978897,0.4875668937651786,0.2639547697762445,0.7702407002188183,0.7313432835820896,0.7563524103538352,0.7811320754716982,0.5964303420922162,0.5367852014528254,0.5434559276761866,0.4386446886446886,1
0.6493151801728355,0.5337423312883435,0.562753036437247,0.57081332080889,0.6754187415119963,0.6365767878077374,0.2622235595005265,0.3722549630268474,0.5010940919037199,0.7164179104477612,0.7150320588933745,0.5962264150943395,0.3306891422905305,0.5687980403750317,0.8744606533799055,0.7062728937728937,1
0.9908283058861896,0.9723926380368098,0.9352226720647772,0.2534516066143239,0.7204617473970122,0.6131301289566237,0.4199316555266608,0.6000830498458786,0.9343544857768052,0.8980099502487563,0.5115174542863927,0.9339622641509432,0.2248388696083292,0.7258214376214207,0.7402917608382987,0.4084249084249083,1
0.7199168433067015,0.6809815950920245,0.7692307692307693,0.6953901777643868,0.862154821186057,0.7512309495896834,0.0842270412001117,0.1188571063517161,0.7177242888402626,0.6517412935323383,0.7119449061980527,0.730188679245283,0.3128408527516113,0.3442013683588141,0.3256626258475447,0.5057234432234431,1
0.738321376161748,0.7239263803680981,0.6842105263157894,0.7011325168814136,0.6973743775464011,0.6323563892145369,0.0987771067506286,0.5982144283136089,0.7111597374179431,0.5646766169154229,0.7425789598670148,0.6924528301886792,0.3309370352007932,0.358645155840865,0.9034312718306966,0.5153388278388278,1
0.836071253872493,0.8312883435582822,0.902834008097166,0.247470003367421,0.7252150294250792,0.6511137162954278,0.2384964215865374,0.2605688914442687,0.6630196936542669,0.7562189054726368,0.939919259083353,0.8679245283018867,0.4705007436787308,0.4245290987414477,0.4678446681734127,0.594551282051282,1
0.4409342899070602,0.4815950920245399,0.5708502024291497,0.7731776048774436,0.9578995020371208,0.900820633059789,0.3687592684132476,0.3466532509223324,0.4431072210065645,0.4502487562189055,0.7005461885537877,0.8169811320754717,0.2216162617749132,0.6887406030914773,0.9106225600986234,0.5989010989010988,1
0.4191464210011414,0.460122699386503,0.5323886639676114,0.3453467557556315,0.9178361249434132,0.5388042203985931,0.4350834963141266,0.0709916471020395,0.9715536105032824,0.9850746268656718,0.8047969603419616,0.9188679245283018,0.6006445215666832,0.4711546583326294,0.2936100267104992,0.4109432234432233,1
0.6186205772052829,0.7024539877300614,0.7773279352226721,0.3045920989667334,0.7485287460389316,0.6438452520515827,0.1530873218852758,0.4371456406816476,0.7549234135667395,0.4079601990049751,0.5160294466872477,0.5415094339622641,0.4509172037679722,0.2793310245797787,0.6330388329566468,0.5283882783882783,1
0.6836784607859123,0.6717791411042945,0.902834008097166,0.8709568792868156,0.6670439112720689,0.5669402110199296,0.30501407724215,0.3043617140210499,0.461706783369803,0.6393034825870647,0.8014723343623842,0.7603773584905661,0.3577094695091721,0.5952360841287271,0.5681117731662214,0.4590201465201464,1
